id,original,simple,references,fluency,meaning,simplicity,system
0,a bastion on the eastern approaches was built later.,a bastion on the eastern side was built later.,"['a fort on the eastern access road was built later.', 'a fortification on the eastern approaches was built later.', 'a support on the east was built later.', 'an extension on the eastern side was built later.', 'a fort on the eastern side of the area was built later.', 'a wall on the east side was built later.', 'later, it was fortified on the easterrn side.', 'a  defense on the eastern side was built later.', 'a bastion on the eastern side was built later.', 'an eastern bastion was built later.']",0.41504168799999996,1.1022197120000001,1.3516041,ACCESS
0,a bastion on the eastern approaches was built later.,a bastion on the east organizing was built later.,"['a fort on the eastern access road was built later.', 'a fortification on the eastern approaches was built later.', 'a support on the east was built later.', 'an extension on the eastern side was built later.', 'a fort on the eastern side of the area was built later.', 'a wall on the east side was built later.', 'later, it was fortified on the easterrn side.', 'a  defense on the eastern side was built later.', 'a bastion on the eastern side was built later.', 'an eastern bastion was built later.']",-0.5298062060000001,-0.734364421,-0.873206308,DMASS-DCSS
0,a bastion on the eastern approaches was built later.,a bastion in the east nears was built at a later date.,"['a fort on the eastern access road was built later.', 'a fortification on the eastern approaches was built later.', 'a support on the east was built later.', 'an extension on the eastern side was built later.', 'a fort on the eastern side of the area was built later.', 'a wall on the east side was built later.', 'later, it was fortified on the easterrn side.', 'a  defense on the eastern side was built later.', 'a bastion on the eastern side was built later.', 'an eastern bastion was built later.']",0.116173038,-0.308314839,-0.471797334,SBMT-SARI
2,"a few animals have chromatic response, changing color in changing environments, either seasonally (ermine, snowshoe hare) or far more rapidly with chromatophores in their integument (the cephalopod family).","a few animals have chromatic response, changing color in changing environments, either seasonally (snowshoe hare) or far more rapidly with chromatophores in their integument (the cephalopod family).","['some animals change color in different environments. sometimes this is because of the season.', 'a few animals have a chromatic response, which means they change colors depending on their environment.  they can either do this with the seasons, or far more rapidly with cells in their skin.', 'a few animals have chromatic response. they can change color in changing environments. some change seasonally, like the ermine or snowshoe hare. some change quickly, like members of the cephalopod family.', 'some animals have chromatic response.  this means that they change colour in changing environments.  the change can be seasonal (e.g. ermine, snowshoe hare) or more quickly (e.g. chromatophores).', 'some animals change color in different environments.  they change colors with the seasons or with their skin cells.', 'a few animals change colors depending on their environment. this could be a seasonal change or a faster change.', 'a couple of animals change colors when their surroundings change either by season like the ermine and snowshoe hare or a lot quicker because they have organs in the skin (the cephalopod family).', 'some animals change colors in different environments. some animals like the ermine and snowshoe hare change color when the season changes. other types of animal change faster.', ""some animals have 'chromatic responses', they change color depending on what's around them."", 'a few animals have chromatic response which means they change colors when their environment changes. this can happen either seasonally (ermine, snowshoe hare) or far more rapidly with pigment  in their outer layer of skin (octopus, squid).']",0.285011485,0.853444416,-0.28068021,ACCESS
2,"a few animals have chromatic response, changing color in changing environments, either seasonally (ermine, snowshoe hare) or far more rapidly with chromatophores in their integument (the cephalopod family).","animals have a response, changing color, either ermine snowshoe, or hare).","['some animals change color in different environments. sometimes this is because of the season.', 'a few animals have a chromatic response, which means they change colors depending on their environment.  they can either do this with the seasons, or far more rapidly with cells in their skin.', 'a few animals have chromatic response. they can change color in changing environments. some change seasonally, like the ermine or snowshoe hare. some change quickly, like members of the cephalopod family.', 'some animals have chromatic response.  this means that they change colour in changing environments.  the change can be seasonal (e.g. ermine, snowshoe hare) or more quickly (e.g. chromatophores).', 'some animals change color in different environments.  they change colors with the seasons or with their skin cells.', 'a few animals change colors depending on their environment. this could be a seasonal change or a faster change.', 'a couple of animals change colors when their surroundings change either by season like the ermine and snowshoe hare or a lot quicker because they have organs in the skin (the cephalopod family).', 'some animals change colors in different environments. some animals like the ermine and snowshoe hare change color when the season changes. other types of animal change faster.', ""some animals have 'chromatic responses', they change color depending on what's around them."", 'a few animals have chromatic response which means they change colors when their environment changes. this can happen either seasonally (ermine, snowshoe hare) or far more rapidly with pigment  in their outer layer of skin (octopus, squid).']",-0.8902383009999999,-0.880717167,-0.684491163,Hybrid
2,"a few animals have chromatic response, changing color in changing environments, either seasonally (ermine, snowshoe hare) or far more rapidly with chromatophores in their integument (the cephalopod family).","a few animals have chromatic response, changing color in changing environments, either seasonally (stoat, snowshoe hare) or more quickly with chromatophores in their integument (the cephalopod family).","['some animals change color in different environments. sometimes this is because of the season.', 'a few animals have a chromatic response, which means they change colors depending on their environment.  they can either do this with the seasons, or far more rapidly with cells in their skin.', 'a few animals have chromatic response. they can change color in changing environments. some change seasonally, like the ermine or snowshoe hare. some change quickly, like members of the cephalopod family.', 'some animals have chromatic response.  this means that they change colour in changing environments.  the change can be seasonal (e.g. ermine, snowshoe hare) or more quickly (e.g. chromatophores).', 'some animals change color in different environments.  they change colors with the seasons or with their skin cells.', 'a few animals change colors depending on their environment. this could be a seasonal change or a faster change.', 'a couple of animals change colors when their surroundings change either by season like the ermine and snowshoe hare or a lot quicker because they have organs in the skin (the cephalopod family).', 'some animals change colors in different environments. some animals like the ermine and snowshoe hare change color when the season changes. other types of animal change faster.', ""some animals have 'chromatic responses', they change color depending on what's around them."", 'a few animals have chromatic response which means they change colors when their environment changes. this can happen either seasonally (ermine, snowshoe hare) or far more rapidly with pigment  in their outer layer of skin (octopus, squid).']",0.459241533,0.573189159,0.148119069,PBMT-R
2,"a few animals have chromatic response, changing color in changing environments, either seasonally (ermine, snowshoe hare) or far more rapidly with chromatophores in their integument (the cephalopod family).","a few animals have chromatic response, change color in a changing environment, either seasonally (ermine, snowshoe hare) or much faster with chromatophores in their coat (the cephalopod family).","['some animals change color in different environments. sometimes this is because of the season.', 'a few animals have a chromatic response, which means they change colors depending on their environment.  they can either do this with the seasons, or far more rapidly with cells in their skin.', 'a few animals have chromatic response. they can change color in changing environments. some change seasonally, like the ermine or snowshoe hare. some change quickly, like members of the cephalopod family.', 'some animals have chromatic response.  this means that they change colour in changing environments.  the change can be seasonal (e.g. ermine, snowshoe hare) or more quickly (e.g. chromatophores).', 'some animals change color in different environments.  they change colors with the seasons or with their skin cells.', 'a few animals change colors depending on their environment. this could be a seasonal change or a faster change.', 'a couple of animals change colors when their surroundings change either by season like the ermine and snowshoe hare or a lot quicker because they have organs in the skin (the cephalopod family).', 'some animals change colors in different environments. some animals like the ermine and snowshoe hare change color when the season changes. other types of animal change faster.', ""some animals have 'chromatic responses', they change color depending on what's around them."", 'a few animals have chromatic response which means they change colors when their environment changes. this can happen either seasonally (ermine, snowshoe hare) or far more rapidly with pigment  in their outer layer of skin (octopus, squid).']",0.39305181299999997,0.6507033179999999,0.632038265,SBMT-SARI
3,"a historian has stated that ""it was quinine's efficacy that gave colonists fresh opportunities to swarm into the gold coast, nigeria and other parts of west africa"".","a historian has stated that ""it was quinine's efficacy that gave colonists fresh opportunities to swarm into the gold nigeria coast, and other parts of west africa"".","[""quinine's potency gave colonists opportunities to swarm into the gold coast, nigeria, and other parts of west africa."", 'a historian said that ""it was quinine\'s efficacy that gave colonists fresh opportunities to swarm into the gold coast, nigeria and other parts of west africa"".', 'a historian said that quinine caused colonists to go to west africa.', 'a historian has stated that ""it was quinine\'s efficacy that gave colonists opportunities to go into the gold coast, nigeria and other parts of west africa"".', 'a historian stated that, ""it was quinine\'s effectiveness that allowed colonists to go to the gold coast, nigeria and other parts of west africa"".', 'a historian has stated that ""it was quinine\'s efficacy that gave colonists fresh opportunities to swarm into...west africa"".', 'a historian said that quinine helped colonists settle in the gold coast, nigeria, and other parts of west africa.', 'historians say that an anti-malaria drug let colonists enter west africa in large numbers.', 'a historian has said that ""it was quinine\'s success that gave the colonists new opportunities to flood into the gold coast (nigeria and other parts of west africa)"".', 'a historian said it was quinine was so good it gave the people settling there new chances to go to the gold coast nigeria and other parts of west africa.']",0.147488346,-0.057318897,-0.34182103399999997,Hybrid
5,a mutant is a type of fictional character that appears in comic books published by marvel comics.,a mutant is a type of character that appears in comic books published by marvel comics.,"['a pretend character in comic books by marvel comics is called a mutant.', 'a mutant is a made up character. they are shown in comic books by marvel comics.', 'a mutant is a made-up character in marvel comic books.', 'a mutant is a type of made up character that appears in comic books released by marvel comics.', 'a mutant is a fictional comic book character.  it appears on comic books published by marvel comics.', 'a mutant is a fictional character that appears in marvel comic books.', 'a mutant is a marvel comic book character.', 'a mutant is a fictional character that shows up in marvel comic books.', 'a mutant is an imaginary character in marvel comic books.', 'a mutant is a kind of character appearing in marvel comics.']",0.9002007120000001,0.8299831520000001,0.799275372,PBMT-R
6,"a town may be correctly described as a market town or as having market rights even if it no longer holds a market, provided the right to do so still exists.","may be described a town or as having market rights if it holds a market, provided the right to do exists.","[""a town can be correctly described as a market town or as having rights to trade even if it doesn't have a market anymore because the right to do it is still exists."", ""a town can be described as a market town or as having market rights even if it doesn't have a market as long as the right to have a market still exists."", ""a town could be described as a market town or having market rights even if it doesn't take care of money if it is able to."", 'so long as the right exists, a town me remain classified as a market town.', 'a town may still be a market town even if no longer has a market.', 'towns may or may not have markets but can still carry the name ""market town"".', 'a town can be described as a market town or as having market rights.  this is so, even if the town no longer has a market as long as it could lawfully have one.', 'a town may be called a market town or may have market rights even if it no longer has a market.', 'a town can be described as a market town even it if no longer has a market, as long as the right to do so still exists.', 'a town can be called a market town or as having market rights even if it no longer has one, if the right to do so still exists.']",-0.748478352,-0.540543943,-0.6714250540000001,Hybrid
